,date_interval,Inbound,Outbound,Shift
382,2019-01-17,35.0,39.0,9.0
383,2019-01-18,35.0,27.0,12.0
384,2019-01-19,34.0,46.0,13.0
385,2019-01-20,40.0,38.0,14.0
386,2019-01-21,36.0,36.0,16.0
387,2019-01-22,32.0,31.0,12.0
388,2019-01-23,23.0,20.0,19.0
389,2019-01-24,33.0,30.0,26.0
390,2019-01-25,27.0,36.0,6.0
391,2019-01-26,27.0,40.0,9.0
392,2019-01-27,27.0,26.0,9.0
393,2019-01-28,30.0,36.0,8.0
394,2019-01-29,27.0,33.0,10.0
395,2019-01-30,32.0,31.0,16.0
396,2019-01-31,22.0,27.0,10.0
397,2019-02-01,27.0,30.0,10.0
398,2019-02-02,22.0,21.0,9.0
399,2019-02-03,8.0,27.0,6.0
400,2019-02-04,24.0,14.0,11.0
401,2019-02-05,12.0,14.0,4.0
402,2019-02-06,15.0,40.0,9.0
403,2019-02-07,23.0,41.0,18.0
404,2019-02-08,29.0,44.0,11.0
405,2019-02-09,41.0,54.0,7.0
406,2019-02-10,33.0,40.0,8.0
407,2019-02-11,52.0,40.0,6.0
408,2019-02-12,36.0,50.0,12.0
409,2019-02-13,40.0,43.0,14.0
410,2019-02-14,47.0,43.0,24.0
411,2019-02-15,44.0,32.0,22.0
412,2019-02-16,15.0,14.0,8.0
413,2019-02-17,37.0,51.0,11.0
414,2019-02-18,30.0,39.0,21.0
415,2019-02-19,26.0,32.0,10.0
416,2019-02-20,43.0,45.0,24.0
417,2019-02-21,35.0,30.0,10.0
418,2019-02-22,7.0,18.0,5.0
419,2019-02-23,44.0,49.0,15.0
420,2019-02-24,20.0,34.0,27.0
421,2019-02-25,29.0,29.0,9.0
422,2019-02-26,48.0,42.0,18.0
423,2019-02-27,17.0,19.0,4.0
424,2019-02-28,40.0,61.0,10.0
425,2019-03-01,30.0,34.0,17.0
426,2019-03-02,21.0,22.0,8.0
427,2019-03-03,38.0,46.0,5.0
428,2019-03-04,23.0,51.0,12.0
429,2019-03-05,34.0,34.0,20.0
430,2019-03-06,42.0,52.0,15.0
431,2019-03-07,40.0,40.0,13.0
432,2019-03-08,52.0,43.0,18.0
433,2019-03-09,29.0,53.0,9.0
434,2019-03-10,26.0,23.0,5.0
435,2019-03-11,56.0,49.0,11.0
436,2019-03-12,22.0,34.0,8.0
437,2019-03-13,67.0,51.0,15.0
438,2019-03-14,36.0,55.0,22.0
439,2019-03-15,47.0,51.0,10.0
440,2019-03-16,60.0,51.0,11.0
441,2019-03-17,42.0,41.0,18.0
442,2019-03-18,47.0,57.0,15.0
443,2019-03-19,45.0,48.0,14.0
444,2019-03-20,57.0,54.0,13.0
445,2019-03-21,31.0,48.0,15.0
446,2019-03-22,43.0,40.0,9.0
447,2019-03-23,25.0,29.0,11.0
448,2019-03-24,23.0,29.0,5.0
449,2019-03-25,30.0,32.0,11.0
450,2019-03-26,41.0,31.0,13.0
451,2019-03-27,36.0,47.0,8.0
452,2019-03-28,43.0,54.0,15.0
453,2019-03-29,40.0,38.0,9.0
454,2019-03-30,33.0,45.0,14.0
455,2019-03-31,28.0,40.0,4.0
456,2019-04-01,35.0,46.0,11.0
457,2019-04-02,41.0,49.0,15.0
458,2019-04-03,40.0,42.0,16.0
459,2019-04-04,57.0,42.0,14.0
